aggregation,formula,dimension,layers,training_mask,testing_mask,total_graphs,total_positive,total_negative,tries,train_total_correct,train_ratio_correct,train_total_positive_correct,train_ratio_positive_correct,train_total_negative_correct,train_ratio_negative_correct,test_total_correct,test_ratio_correct,test_total_positive_correct,test_ratio_positive_correct,test_total_negative_correct,test_ratio_negative_correct,accuracies_by_neighbor_ranges,num_epochs,progress
max,psi_5*,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,39832,34550,3(#010*.txt),52007,0.6992,28974,0.7184,23033,0.6765,51836,0.6969,28620,0.7185,23216,0.672,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.7440 | accuracy_on_positive=0.4196013289036545 | accuracy_on_negative=0.9836769759450171
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.7134 | accuracy_on_positive=0.641741779865431 | accuracy_on_negative=0.8030519790176442
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.7011 | accuracy_on_positive=0.7567635270541082 | accuracy_on_negative=0.6292043984476067
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.6839 | accuracy_on_positive=0.8132648066568772 | accuracy_on_negative=0.507505003335557
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.6575 | accuracy_on_positive=0.8496259667807785 | accuracy_on_negative=0.4163349785066072
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.6352 | accuracy_on_positive=0.872093023255814 | accuracy_on_negative=0.36363636363636365
",5,"Epoch 001
Loss: 0.6253 
Train Acc: 51421/74382 (69.13%) 
Test Acc:  51244/74382 (68.89%) 
Train Positive Acc: 28154/40333 (69.80%) 
Test Positive Acc:  27764/39832 (69.70%) 
Train Negative Acc: 23267/34049 (68.33%) 
Test Negative Acc:  23480/34550 (67.96%) 

Epoch 002
Loss: 0.5834 
Train Acc: 52007/74382 (69.92%) 
Test Acc:  51836/74382 (69.69%) 
Train Positive Acc: 28974/40333 (71.84%) 
Test Positive Acc:  28620/39832 (71.85%) 
Train Negative Acc: 23033/34049 (67.65%) 
Test Negative Acc:  23216/34550 (67.20%) 

Epoch 003
Loss: 0.5647 
Train Acc: 52007/74382 (69.92%) 
Test Acc:  51836/74382 (69.69%) 
Train Positive Acc: 28974/40333 (71.84%) 
Test Positive Acc:  28620/39832 (71.85%) 
Train Negative Acc: 23033/34049 (67.65%) 
Test Negative Acc:  23216/34550 (67.20%) 

Epoch 004
Loss: 0.5586 
Train Acc: 52007/74382 (69.92%) 
Test Acc:  51836/74382 (69.69%) 
Train Positive Acc: 28974/40333 (71.84%) 
Test Positive Acc:  28620/39832 (71.85%) 
Train Negative Acc: 23033/34049 (67.65%) 
Test Negative Acc:  23216/34550 (67.20%) 

Epoch 005
Loss: 0.5562 
Train Acc: 52007/74382 (69.92%) 
Test Acc:  51836/74382 (69.69%) 
Train Positive Acc: 28974/40333 (71.84%) 
Test Positive Acc:  28620/39832 (71.85%) 
Train Negative Acc: 23033/34049 (67.65%) 
Test Negative Acc:  23216/34550 (67.20%) 

"
sum,psi_5*,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,39832,34550,2(#011*.txt),73977,0.9946,39928,0.99,34049,1.0,73974,0.9945,39424,0.9898,34550,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9712 | accuracy_on_positive=0.9488977955911824 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.5364 
Train Acc: 60838/74382 (81.79%) 
Test Acc:  60381/74382 (81.18%) 
Train Positive Acc: 33982/40333 (84.25%) 
Test Positive Acc:  33557/39832 (84.25%) 
Train Negative Acc: 26856/34049 (78.87%) 
Test Negative Acc:  26824/34550 (77.64%) 

Epoch 002
Loss: 0.2203 
Train Acc: 73599/74382 (98.95%) 
Test Acc:  73595/74382 (98.94%) 
Train Positive Acc: 39550/40333 (98.06%) 
Test Positive Acc:  39045/39832 (98.02%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 003
Loss: 0.0769 
Train Acc: 73800/74382 (99.22%) 
Test Acc:  73797/74382 (99.21%) 
Train Positive Acc: 39751/40333 (98.56%) 
Test Positive Acc:  39247/39832 (98.53%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 004
Loss: 0.0635 
Train Acc: 73800/74382 (99.22%) 
Test Acc:  73797/74382 (99.21%) 
Train Positive Acc: 39751/40333 (98.56%) 
Test Positive Acc:  39247/39832 (98.53%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 005
Loss: 0.0561 
Train Acc: 73977/74382 (99.46%) 
Test Acc:  73974/74382 (99.45%) 
Train Positive Acc: 39928/40333 (99.00%) 
Test Positive Acc:  39424/39832 (98.98%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

"
mean,psi_5*,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,39832,34550,2(#017*.txt),73627,0.9898,39578,0.9813,34049,1.0,73621,0.9898,39071,0.9809,34550,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9712 | accuracy_on_positive=0.9488977955911824 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9751 | accuracy_on_positive=0.956803720019579 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.2863 
Train Acc: 73137/74382 (98.33%) 
Test Acc:  73156/74382 (98.35%) 
Train Positive Acc: 39088/40333 (96.91%) 
Test Positive Acc:  38606/39832 (96.92%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 002
Loss: 0.1091 
Train Acc: 73482/74382 (98.79%) 
Test Acc:  73470/74382 (98.77%) 
Train Positive Acc: 39433/40333 (97.77%) 
Test Positive Acc:  38920/39832 (97.71%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 003
Loss: 0.0725 
Train Acc: 73522/74382 (98.84%) 
Test Acc:  73512/74382 (98.83%) 
Train Positive Acc: 39473/40333 (97.87%) 
Test Positive Acc:  38962/39832 (97.82%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 004
Loss: 0.0558 
Train Acc: 73595/74382 (98.94%) 
Test Acc:  73596/74382 (98.94%) 
Train Positive Acc: 39546/40333 (98.05%) 
Test Positive Acc:  39046/39832 (98.03%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 005
Loss: 0.0460 
Train Acc: 73627/74382 (98.98%) 
Test Acc:  73621/74382 (98.98%) 
Train Positive Acc: 39578/40333 (98.13%) 
Test Positive Acc:  39071/39832 (98.09%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

"
max,psi_6*,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36515,37867,3(#013.txt),56386,0.7581,19878,0.5418,36508,0.9686,56506,0.7597,19853,0.5437,36653,0.9679,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.9875 | accuracy_on_positive=1.0 | accuracy_on_negative=0.964300121016539
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.7559 | accuracy_on_positive=0.5477386934673367 | accuracy_on_negative=0.968732153055397
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.7033 | accuracy_on_positive=0.4045571148332579 | accuracy_on_negative=0.9659196393051319
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.7037 | accuracy_on_positive=0.3378995433789954 | accuracy_on_negative=0.965717746820109
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.6785 | accuracy_on_positive=0.2773966873013217 | accuracy_on_negative=0.9711878891466244
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.6375 | accuracy_on_positive=0.23522167487684728 | accuracy_on_negative=0.9781021897810219
",5,"Epoch 001
Loss: 0.5874 
Train Acc: 54752/74382 (73.61%) 
Test Acc:  55178/74382 (74.18%) 
Train Positive Acc: 19028/36690 (51.86%) 
Test Positive Acc:  19420/36515 (53.18%) 
Train Negative Acc: 35724/37692 (94.78%) 
Test Negative Acc:  35758/37867 (94.43%) 

Epoch 002
Loss: 0.5074 
Train Acc: 56386/74382 (75.81%) 
Test Acc:  56506/74382 (75.97%) 
Train Positive Acc: 19878/36690 (54.18%) 
Test Positive Acc:  19853/36515 (54.37%) 
Train Negative Acc: 36508/37692 (96.86%) 
Test Negative Acc:  36653/37867 (96.79%) 

Epoch 003
Loss: 0.4939 
Train Acc: 56386/74382 (75.81%) 
Test Acc:  56506/74382 (75.97%) 
Train Positive Acc: 19878/36690 (54.18%) 
Test Positive Acc:  19853/36515 (54.37%) 
Train Negative Acc: 36508/37692 (96.86%) 
Test Negative Acc:  36653/37867 (96.79%) 

Epoch 004
Loss: 0.4872 
Train Acc: 56386/74382 (75.81%) 
Test Acc:  56506/74382 (75.97%) 
Train Positive Acc: 19878/36690 (54.18%) 
Test Positive Acc:  19853/36515 (54.37%) 
Train Negative Acc: 36508/37692 (96.86%) 
Test Negative Acc:  36653/37867 (96.79%) 

Epoch 005
Loss: 0.4843 
Train Acc: 56386/74382 (75.81%) 
Test Acc:  56506/74382 (75.97%) 
Train Positive Acc: 19878/36690 (54.18%) 
Test Positive Acc:  19853/36515 (54.37%) 
Train Negative Acc: 36508/37692 (96.86%) 
Test Negative Acc:  36653/37867 (96.79%) 

"
sum,psi_6,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36515,37867,3(#014*.txt),65436,0.8797,28910,0.788,36526,0.9691,65166,0.8761,28509,0.7807,36657,0.968,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8876 | accuracy_on_positive=0.8846905537459283 | accuracy_on_negative=0.8929003630496167
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.8793 | accuracy_on_positive=0.7801507537688442 | accuracy_on_negative=0.9807252998286693
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.8687 | accuracy_on_positive=0.740153915799004 | accuracy_on_negative=0.9817000397825222
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.8769 | accuracy_on_positive=0.7491966852697446 | accuracy_on_negative=0.9683827983040582
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8760 | accuracy_on_positive=0.726953321064079 | accuracy_on_negative=0.9847393480649493
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8442 | accuracy_on_positive=0.6724137931034483 | accuracy_on_negative=0.9895724713242962
",5,"Epoch 001
Loss: 0.3297 
Train Acc: 68851/74382 (92.56%) 
Test Acc:  68796/74382 (92.49%) 
Train Positive Acc: 31213/36690 (85.07%) 
Test Positive Acc:  30980/36515 (84.84%) 
Train Negative Acc: 37638/37692 (99.86%) 
Test Negative Acc:  37816/37867 (99.87%) 

Epoch 002
Loss: 0.1482 
Train Acc: 70800/74382 (95.18%) 
Test Acc:  70784/74382 (95.16%) 
Train Positive Acc: 33192/36690 (90.47%) 
Test Positive Acc:  33002/36515 (90.38%) 
Train Negative Acc: 37608/37692 (99.78%) 
Test Negative Acc:  37782/37867 (99.78%) 

Epoch 003
Loss: 0.1707 
Train Acc: 65175/74382 (87.62%) 
Test Acc:  65104/74382 (87.53%) 
Train Positive Acc: 27485/36690 (74.91%) 
Test Positive Acc:  27239/36515 (74.60%) 
Train Negative Acc: 37690/37692 (99.99%) 
Test Negative Acc:  37865/37867 (99.99%) 

Epoch 004
Loss: 0.1186 
Train Acc: 62324/74382 (83.79%) 
Test Acc:  61890/74382 (83.21%) 
Train Positive Acc: 28771/36690 (78.42%) 
Test Positive Acc:  28254/36515 (77.38%) 
Train Negative Acc: 33553/37692 (89.02%) 
Test Negative Acc:  33636/37867 (88.83%) 

Epoch 005
Loss: 0.2374 
Train Acc: 65436/74382 (87.97%) 
Test Acc:  65166/74382 (87.61%) 
Train Positive Acc: 28910/36690 (78.80%) 
Test Positive Acc:  28509/36515 (78.07%) 
Train Negative Acc: 36526/37692 (96.91%) 
Test Negative Acc:  36657/37867 (96.80%) 

"
mean,psi_6,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36515,37867,1,72333,0.9725,34743,0.9469,37590,0.9973,72268,0.9716,34484,0.9444,37784,0.9978,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.9968 | accuracy_on_positive=1.0 | accuracy_on_negative=0.990923759580476
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.9697 | accuracy_on_positive=0.9415131211613623 | accuracy_on_negative=0.9985722444317533
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9554 | accuracy_on_positive=0.9052361551229817 | accuracy_on_negative=0.9994695663705079
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9800 | accuracy_on_positive=0.954507018433959 | accuracy_on_negative=0.9983040581465779
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.9715 | accuracy_on_positive=0.934080642462774 | accuracy_on_negative=0.998779147845196
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.9094 | accuracy_on_positive=0.8023399014778325 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.5564 
Train Acc: 68119/74382 (91.58%) 
Test Acc:  68232/74382 (91.73%) 
Train Positive Acc: 30443/36690 (82.97%) 
Test Positive Acc:  30403/36515 (83.26%) 
Train Negative Acc: 37676/37692 (99.96%) 
Test Negative Acc:  37829/37867 (99.90%) 

Epoch 002
Loss: 0.1105 
Train Acc: 72212/74382 (97.08%) 
Test Acc:  72247/74382 (97.13%) 
Train Positive Acc: 34662/36690 (94.47%) 
Test Positive Acc:  34651/36515 (94.90%) 
Train Negative Acc: 37550/37692 (99.62%) 
Test Negative Acc:  37596/37867 (99.28%) 

Epoch 003
Loss: 0.0749 
Train Acc: 72735/74382 (97.79%) 
Test Acc:  72624/74382 (97.64%) 
Train Positive Acc: 35066/36690 (95.57%) 
Test Positive Acc:  34770/36515 (95.22%) 
Train Negative Acc: 37669/37692 (99.94%) 
Test Negative Acc:  37854/37867 (99.97%) 

Epoch 004
Loss: 0.0632 
Train Acc: 72763/74382 (97.82%) 
Test Acc:  72792/74382 (97.86%) 
Train Positive Acc: 35195/36690 (95.93%) 
Test Positive Acc:  35154/36515 (96.27%) 
Train Negative Acc: 37568/37692 (99.67%) 
Test Negative Acc:  37638/37867 (99.40%) 

Epoch 005
Loss: 0.0645 
Train Acc: 72333/74382 (97.25%) 
Test Acc:  72268/74382 (97.16%) 
Train Positive Acc: 34743/36690 (94.69%) 
Test Positive Acc:  34484/36515 (94.44%) 
Train Negative Acc: 37590/37692 (99.73%) 
Test Negative Acc:  37784/37867 (99.78%) 

"
sum,psi_2*,7,7,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,14025,60357,1,70734,0.951,12942,0.8781,57792,0.969,70812,0.952,12231,0.8721,58581,0.9706,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8843 | accuracy_on_positive=0.5290601129192959 | accuracy_on_negative=0.980191807833647
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.9353 | accuracy_on_positive=0.9351321886072499 | accuracy_on_negative=0.9353271740165731
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9683 | accuracy_on_positive=0.9538188277087034 | accuracy_on_negative=0.9719016999911918
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9792 | accuracy_on_positive=0.9963218390804598 | accuracy_on_negative=0.9761527557742016
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.9838 | accuracy_on_positive=1.0 | accuracy_on_negative=0.98128014387313
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.9881 | accuracy_on_positive=1.0 | accuracy_on_negative=0.9865470852017937
",5,"Epoch 001
Loss: 0.2917 
Train Acc: 67114/74382 (90.23%) 
Test Acc:  67223/74382 (90.38%) 
Train Positive Acc: 8776/14739 (59.54%) 
Test Positive Acc:  8121/14025 (57.90%) 
Train Negative Acc: 58338/59643 (97.81%) 
Test Negative Acc:  59102/60357 (97.92%) 

Epoch 002
Loss: 0.1006 
Train Acc: 69652/74382 (93.64%) 
Test Acc:  69734/74382 (93.75%) 
Train Positive Acc: 14651/14739 (99.40%) 
Test Positive Acc:  13936/14025 (99.37%) 
Train Negative Acc: 55001/59643 (92.22%) 
Test Negative Acc:  55798/60357 (92.45%) 

Epoch 003
Loss: 0.0775 
Train Acc: 72690/74382 (97.73%) 
Test Acc:  72739/74382 (97.79%) 
Train Positive Acc: 14643/14739 (99.35%) 
Test Positive Acc:  13936/14025 (99.37%) 
Train Negative Acc: 58047/59643 (97.32%) 
Test Negative Acc:  58803/60357 (97.43%) 

Epoch 004
Loss: 0.1001 
Train Acc: 70381/74382 (94.62%) 
Test Acc:  70461/74382 (94.73%) 
Train Positive Acc: 12331/14739 (83.66%) 
Test Positive Acc:  11636/14025 (82.97%) 
Train Negative Acc: 58050/59643 (97.33%) 
Test Negative Acc:  58825/60357 (97.46%) 

Epoch 005
Loss: 0.1244 
Train Acc: 70734/74382 (95.10%) 
Test Acc:  70812/74382 (95.20%) 
Train Positive Acc: 12942/14739 (87.81%) 
Test Positive Acc:  12231/14025 (87.21%) 
Train Negative Acc: 57792/59643 (96.90%) 
Test Negative Acc:  58581/60357 (97.06%) 

"
mean,psi_2*,7,7,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,14025,60357,3,59643,0.8018,0,0.0,59643,1.0,60357,0.8114,0,0.0,60357,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.7875 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.7410 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.8013 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.8465 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8634 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8814 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.5010 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 002
Loss: 0.4979 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 003
Loss: 0.4979 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 004
Loss: 0.4979 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

Epoch 005
Loss: 0.4979 
Train Acc: 59643/74382 (80.18%) 
Test Acc:  60357/74382 (81.14%) 
Train Positive Acc: 0/14739 (0.00%) 
Test Positive Acc:  0/14025 (0.00%) 
Train Negative Acc: 59643/59643 (100.00%) 
Test Negative Acc:  60357/60357 (100.00%) 

"
max,psi_0,1,1,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,36688,41236,1,70840,1.0,35222,1.0,35618,1.0,77924,1.0,36688,1.0,41236,1.0,"  [ 10- 14] root neighbors | graphs=35420 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 15- 19] root neighbors | graphs=35420 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 24] root neighbors | graphs=7084 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",1,"Epoch 001
Loss: 0.2050 
Train Acc: 70840/70840 (100.00%) 
Test Acc:  77924/77924 (100.00%) 
Train Positive Acc: 35222/35222 (100.00%) 
Test Positive Acc:  36688/36688 (100.00%) 
Train Negative Acc: 35618/35618 (100.00%) 
Test Negative Acc:  41236/41236 (100.00%) 

"
sum,psi_0,1,1,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,36688,41236,1,70840,1.0,35222,1.0,35618,1.0,74114,0.9511,32878,0.8962,41236,1.0,"  [  0-  4] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=0.9911 / 0.9816 / 1.0000 | accuracy_on_positive=0.9911 / 0.9816 / 1.0000 | accuracy_on_negative=0.9911 / 0.9816 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=0.9285 / 0.8423 / 1.0000 | accuracy_on_positive=0.9285 / 0.8423 / 1.0000 | accuracy_on_negative=0.9285 / 0.8423 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=0.8642 / 0.7284 / 1.0000 | accuracy_on_positive=0.8642 / 0.7284 / 1.0000 | accuracy_on_negative=0.8642 / 0.7284 / 1.0000
",1,"Epoch 001
Loss: 0.2272 
Train Acc: 70840/70840 (100.00%) 
Test Acc:  74114/77924 (95.11%) 
Train Positive Acc: 35222/35222 (100.00%) 
Test Positive Acc:  32878/36688 (89.62%) 
Train Negative Acc: 35618/35618 (100.00%) 
Test Negative Acc:  41236/41236 (100.00%) 

"
